Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_mean,Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_std,Magmap2019-grid-tmi_rtp_05vd-AWAGS_MAG_2019_median,Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_mean,Magmap2019-grid-tmi_rtp_enhancement-PGravTHD-AWAGS_MAG_2019_min,Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_mean,Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_std,Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_min,Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_max,Gravmap2016-grid-grv_cscba_mean,Gravmap2016-grid-grv_cscba_std,Gravmap2019-grid-grv_cscba_1vd_mean,Gravmap2019-grid-grv_cscba_1vd-IncludesAirborne_std,Gravmap2019-grid-grv_cscba_1vd-IncludesAirborne_max,Gravmap2019-grid-grv_cscba_05vd-IncludesAirborne_min,Gravmap2019-grid-grv_cscba_tilt_max,Gravmap2019-grid-grv_fa_std,Radmap2019-grid-dose_terr-AWAGS_RAD_2019_mean,Radmap2019-grid-dose_terr-AWAGS_RAD_2019_std,Radmap2019-grid-dose_terr-AWAGS_RAD_2019_min,Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_mean,Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_std,Radmap2019-grid-u_conc-AWAGS_RAD_2019_min,Radmap2019-grid-uth_ratio-AWAGS_RAD_2019_mean,AlOH_Group_Composition_min,AlOH_Group_Composition_median,AlOH_Group_Content_min,FeOH_Group_Content_mean,FeOH_Group_Content_min,FeOH_Group_Content_median,Ferric_Oxide_Composition_mean,Ferric_Oxide_Composition_std,Ferric_Oxide_Composition_min,Ferric_Oxide_Composition_max,Ferric_Oxide_Content_std,Ferric_Oxide_Content_max,Ferrous_Iron_Content_in_MgOH_min,Ferrous_Iron_Content_in_MgOH_median,Ferrous_Iron_Index_min,Green_Vegetation_min,Gypsum_Index_min,Gypsum_Index_median,Kaolin_Group_Index_min,Kaolin_Group_Index_median,MgOH_Group_Composition_mean,MgOH_Group_Composition_min,MgOH_Group_Composition_median,MgOH_Group_Content_min,MgOH_Group_Content_median,Opaque_Index_mean,Opaque_Index_min,Opaque_Index_median,Quartz_Index_min,Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_contrast,Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_correlation,Magmap2019-grid-tmi_rtp_as-AWAGS_MAG_2019_correlation,Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_contrast,Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_homogeneity,Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_contrast,Magmap2019-grid-tmi_rtp_upcon-UC8km12kmRes-AWAGS_MAG_2019_contrast,Magmap2019-grid-tmi_rtp_upcon-UC24km30kmRes-AWAGS_MAG_2019_homogeneity,Magmap2019-grid-tmi_rtp_upcon-UC24km30kmRes-AWAGS_MAG_2019_energy,Magmap2019-grid-tmi_rtp_upcon-UC36km42kmRes-AWAGS_MAG_2019_homogeneity,Magmap2019-grid-tmi_rtp_upcon-UC36km42kmRes-AWAGS_MAG_2019_energy,Magmap2019-grid-tmi_rtp_upcon-UC42km50kmRes-AWAGS_MAG_2019_energy,Gravmap2016-grid-grv_cscba_contrast,Gravmap2016-grid-grv_cscba_homogeneity,Gravmap2019-grid-grv_cscba_1vd_contrast,Gravmap2019-grid-grv_fa_contrast,Radmap2019-grid-dose_terr-AWAGS_RAD_2019_contrast,Radmap2019-grid-dose_terr-AWAGS_RAD_2019_correlation,Radmap2019-grid-k_conc-AWAGS_RAD_2019_contrast,Radmap2019-grid-th_conc-AWAGS_RAD_2019_contrast,Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_contrast,Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_correlation,Radmap2019-grid-u_conc-AWAGS_RAD_2019_contrast,Radmap2019-grid-u_conc-AWAGS_RAD_2019_correlation,Radmap2019-grid-u2th_ratio-AWAGS_RAD_2019_correlation,Radmap2019-grid-uk_ratio-AWAGS_RAD_2019_contrast,AlOH_Group_Composition_correlation,FeOH_Group_Content_correlation,Ferric_Oxide_Composition_correlation,Ferric_Oxide_Content_correlation,Ferrous_Iron_Content_in_MgOH_correlation,Ferrous_Iron_Index_correlation,Green_Vegetation_correlation,Gypsum_Index_correlation,Opaque_Index_correlation,Quartz_Index_contrast,Quartz_Index_correlation,Silica_Index_contrast,Silica_Index_correlation,Gravmap2019-grid-dem_geoid_x_mean,Gravmap2019-grid-dem_geoid_y_mean,IntrusionsBndys_FaultedBndys,IntrusionsBndys_IntrusiveBndys,MetamorphicBoundaries_Faults,MetamorphicBoundaries_MetamorphicBndys,MetamorphicBoundaries_Unconformities,RockUnitBndyFaults_LAO_Faulted boundary,MetamorphicIsograds,MetamorphicFacies_Benambran_Greenschist facies,MetamorphicFacies_Benambran_Null,MetamorphicFacies_Benambran_Subgreenschist facies,MetamorphicFacies_KanimblanTablelands_Greenschist facies,MetamorphicFacies_KanimblanTablelands_Subgreenschist facies,MetamorphicFacies_Tabberabberan_Greenschist facies,MetamorphicFacies_Tabberabberan_Null,MetamorphicFacies_Tabberabberan_Subgreenschist facies,MetamorphicFacies_Tabberabberan_Upper Greenschist,Intrusions_Tabberabberan_Granite,Intrusions_Tabberabberan_Granodiorite,Intrusions_Tabberabberan_Mafic igneous rock,Intrusions_Tabberabberan_Null,Intrusions_Tabberabberan_Rhyolite,Intrusions_Tabberabberan_Tonalite,RockUnits_LAO_Andesite,RockUnits_LAO_Basalt,RockUnits_LAO_Conglomerate,RockUnits_LAO_Dacite,RockUnits_LAO_Granite,RockUnits_LAO_Granodiorite,RockUnits_LAO_Igneous rock,RockUnits_LAO_Limestone,RockUnits_LAO_Monzodiorite,RockUnits_LAO_Monzonite,RockUnits_LAO_Mudstone,RockUnits_LAO_Null,RockUnits_LAO_Pyroclastic rock,RockUnits_LAO_Rhyolite,RockUnits_LAO_Sandstone,RockUnits_LAO_Sedimentary rock,RockUnits_LAO_Shale,RockUnits_LAO_Siliciclastic sedimentary rock,RockUnits_LAO_Siltstone,RockUnits_LAO_Tonalite,RockUnits_LAO_Tuff and lapilli tuff,RockUnits_LAO_Ultramafic igneous rock,sample_weight,label
0.012011808,0.29353917,1.8149272,71615.71,13.400961,-10.609755,49.315834,-89.07327,82.78649,-18.732796,50.42555,624.04535,36.285545,87.87195,-424.48087,87.95095,48.034954,49.49456,6.0896025,34.4237,9.337804,1.4313977,0.75409245,0.12734134,0.0,0.0,0.0,0.2018140589569161,0.0,0.0,108.98185941043084,27.923521033853888,0.0,171.0,31.35576719264783,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5827664399092971,0.0,0.0,0.0,0.0,0.0907029478458049,0.0,0.0,0.0,1044.3439583333404,0.0403608507746009,0.351734369546246,139.85607142857262,0.1230555227071643,6400.788541666729,206.9292559523831,0.1650017923405947,0.0496232022707406,0.1092182533823469,0.0437263008665187,0.0548250934914035,187.12559523809696,0.0936902155939454,317.97363095238404,206.59241071428792,2368.9790773809787,0.526344852989962,885.3924702381025,2540.5792261905003,1296.222053571439,0.3754272602821705,2217.14136904764,0.0933951620484346,0.1545426230347916,1685.1780357143004,0.1642444218674084,-0.0027340601230406,0.3692021955592979,0.1705776853439852,0.0752384885072315,0.0714991158164673,0.2550513604107572,0.053660553400763,-0.0089130911584636,5254.981458333362,-0.0233344503731997,3267.1682738095387,0.095679857899835,-1.338791,0.70006734,27316.902146525783,63750.0930721832,47836.33478638155,6280.307256118276,83050.87798149137,44.10776801213624,22383.02352910905,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
0.02786171,0.52835107,1.1158757,44238.14,28.570274,-5.913747,44.22753,-86.805756,83.12424,-207.27887,44.79804,58.404533,38.65897,87.23976,-328.32962,86.27743,142.1107,46.426468,11.808367,21.104652,9.19268,6.467659,0.5921375,0.16026829,0.0,0.0,0.0,1.9930875576036864,0.0,0.0,32.96825396825397,45.497789823361565,0.0,152.0,41.90997417790519,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204081632653061,0.0,0.0,0.0,0.0,9.351981351981353,0.0,0.0,0.0,710.3370238095291,-0.0257904693872081,0.2776180075289242,170.92764880952572,0.0943324578411345,8184.611041666738,174.42211309523998,0.0816843033407355,0.0385002401259543,0.08705319555508,0.0390652905615661,0.0401399615113143,257.6541071428597,0.0681006711345114,624.856339285721,189.99955357143037,1615.0505952381086,0.4274983839409828,2569.8236309524045,1176.7259523809616,1638.4635119047769,0.5633383967165959,1548.780982142871,0.4514241039632861,0.4193643311696972,1914.8920535714467,-0.0083134343837531,0.0411155557352217,0.3019905938454572,0.1575478750747267,0.1877273216156342,0.1388654353930216,0.0853444403560211,0.0804229624609943,0.1554225163526977,3948.8341071428777,0.0130995912994416,2918.990565476204,0.186658180264336,12.141487,-16.881453,8103.740559742009,149039.87832692984,31346.9545571873,26973.887092409528,30357.00723514456,48.70819402653608,16298.916706394704,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0
-0.028952448,0.40171376,-1.726473,39672.367,22.603926,-23.039013,47.858795,-87.513016,76.24874,-206.41692,26.49163,172.63768,35.27458,85.53106,-81.315216,86.29094,108.00604,42.863564,14.14696,15.462187,8.854729,5.277213,0.46205875,0.17447446,0.0,0.0,0.0,0.0,0.0,0.0,84.93877551020408,46.42779845360885,0.0,142.0,35.16587251691664,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5079365079365079,0.0,0.0,0.0,0.0,0.1950113378684807,0.0,0.0,0.0,843.4280654761951,-0.0054204840711502,0.4114366696823052,122.17821428571568,0.1184860551438022,8581.637053571509,87.26047619047719,0.0679636471464145,0.040416515345416,0.0665590024695638,0.0411147135849809,0.039152189214623,251.90383928571683,0.0934435225387578,533.8893750000057,209.3755654761926,1839.0181845238264,0.4551540434083545,2117.2364285714484,1463.015089285727,1823.8523214285897,0.4884409273412293,1416.062023809536,0.401526444036742,0.4439338929386303,1766.8434821428727,-0.0047400338537715,1.0,0.2910571211631528,0.3645657724593171,-0.0024464502545145,0.0139017198753507,0.2441016607531466,0.1021607871601465,-0.0065452712844131,4532.776041666682,-0.0040767249287638,4728.183958333352,0.0483738315131576,14.8725605,-5.2220025,8414.120790629351,134713.3217793151,46085.14260010085,9340.13165526113,43921.39956337608,1183.1453367846832,21123.74147121284,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
0.053752247,0.6531667,-0.9277402,52596.453,12.154562,-8.299632,45.79588,-84.07748,82.558685,-166.9478,54.29494,-41.568436,45.53624,84.79626,-335.47168,85.24008,37.98782,55.715725,10.465268,24.593174,6.324839,2.1553586,0.7326574,0.14486103,0.0,0.0,0.0,0.2517006802721088,0.0,0.0,85.56818181818181,30.68964714930363,0.0,142.0,46.62826684099508,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0702947845804988,0.0,0.0,0.0,0.0,0.2358276643990929,0.0,0.0,0.0,937.2727678571498,0.0644283143080496,0.1912133771763894,324.81452380952715,0.0788120355213243,8557.138065476267,185.0993452380972,0.1041229114620266,0.0415532696255021,0.1181170760286071,0.0427127976521214,0.0417590923134654,288.9960119047652,0.0807297750063863,460.2754464285762,470.25726190476666,2299.270029761927,0.4650719160327037,3144.6671130952677,2195.449047619069,1572.929196428585,0.5170917840482621,1862.317648809541,0.3552123657258425,0.2915341159586377,1644.4469642857289,-0.0047304191252174,-0.0024464502545145,0.1943000112109594,0.1029187992561709,-0.0024464502545145,-0.0055308654584145,0.1035177598973756,0.0113700672750214,-0.002542596595623,4532.429315476205,0.0707470500235779,5782.876845238112,0.0937293111962179,-1.9399279,3.9375334,415.1606398980938,175176.93258038818,38611.92407669663,17255.950591946734,56673.32783099949,415.1606398980938,4868.432708892548,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
-0.017599372,0.4766092,-2.7391555,52197.992,12.154562,-21.815851,46.509422,-87.53696,77.429474,-123.50193,41.54095,341.82114,36.06353,85.67433,-275.2713,85.24008,37.938457,55.88509,11.525381,15.365097,6.1957607,1.9239533,0.67994964,0.14279206,0.0,0.0,0.0,0.4013605442176871,0.0,0.0,92.54421768707483,29.267062885882787,0.0,180.0,46.93222562006721,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3854875283446712,0.0,0.0,0.0,0.0,0.0997732426303854,0.0,0.0,0.0,1188.6333333333405,0.0586508281275494,0.3947675255079949,237.6227678571455,0.0994640386566937,8511.316934523886,189.08270833333523,0.0867975891262354,0.0381256116759246,0.0838519977079914,0.0383645354431605,0.0383602505441786,159.00726190476354,0.1024324843137512,446.9260119047663,229.7242559523832,1363.0113690476308,0.5477335814998915,1735.9423809523964,2033.736607142876,1507.5705654762032,0.5275947077677353,1848.587886904779,0.4760947064338546,0.3221170181066559,445.7942261904795,-0.0047304191252174,-0.0048054693344976,0.0968586318557897,0.1209132712184683,-0.0048310435299206,-0.0070970306546405,0.191404896226203,0.0160295068183223,-0.0040452818195099,3710.543482142869,0.0284813622285534,2472.752172619053,0.1196734307499072,1.5977353,2.1408348,383.1171658327039,183256.7275509873,34152.842963856965,12556.2720236859,54887.02902913227,383.1171658327039,4087.515588267627,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0
0.009173287,0.2657381,1.1383134,54262.4,54.53046,-16.314661,47.889385,-83.2197,84.62218,-7.8031917,60.628757,893.7221,40.37499,85.353584,-329.87692,83.70957,48.48575,50.34319,7.722396,37.26041,12.264343,3.5210428,1.1675891,0.13928305,0.0,0.0,0.0,0.0272108843537414,0.0,0.0,101.18367346938776,18.47276124588776,0.0,154.0,38.16243479653528,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1609977324263038,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,917.045267857149,0.0548716608255997,0.3734067891858275,135.9318452380966,0.0996944676100443,6888.047232142916,230.37193452381183,0.1004747547510521,0.0401401018122887,0.0948952045733507,0.0391946790374079,0.0393788857169579,221.16619047619244,0.1171131982009824,1476.5008333333458,264.9225892857164,1158.2561309523908,0.7402108520852035,699.051755952387,962.4339285714364,809.2904464285795,0.7786863641363013,1225.7648511904872,0.6102429619562226,0.6461076981671465,1065.818452380963,0.0442172784495284,-0.0024464502545145,0.1309500503501787,0.1270589040041693,-0.0024464502545145,0.0548665309844504,0.1294409250776931,0.0412911123950237,-0.0023081732154204,6090.076904761937,0.0598180350534472,2396.100089285725,0.1453603907400162,1.6343412,2.4103768,5462.734786481799,5100.923233873943,27406.190439029982,5352.52324413422,66646.80173779395,123.44586167576314,4600.078584736008,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
-0.017308641,0.40937024,-1.7712365,38960.242,22.603926,-22.442451,48.743065,-87.513016,76.24874,-207.78554,25.966673,223.91064,34.398697,85.53106,8.031826,86.29094,104.5907,42.57456,13.176695,15.462187,8.799716,5.0375037,0.46205875,0.17344548,0.0,0.0,0.0,0.0,0.0,0.0,88.25396825396825,43.9690562072248,0.0,142.0,35.21387311137661,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5079365079365079,0.0,0.0,0.0,0.0,0.0816326530612244,0.0,0.0,0.0,872.5746726190526,-0.0072757184332864,0.4160123063364878,136.4232440476206,0.1166560613026092,9095.313630952469,93.59482142857254,0.0655738937287963,0.0420982893590946,0.0654137395691765,0.0418646056401454,0.039853781671754,360.9298511904804,0.0779631101489028,561.0737202381011,251.62383928571688,2038.505476190494,0.4697742371671358,1967.223869047637,1985.894226190495,1674.8929761904926,0.4935446747604314,1985.8862797619224,0.3861989598090197,0.449562659519639,1694.32809523811,-0.0047400338537715,1.0,0.2572430984470171,0.34053232887234,-0.0024464502545145,0.0097241202160411,0.2468069528259822,0.0973206489887964,-0.0037307442957547,5695.751220238119,0.0125958439572632,4666.121607142874,0.0501607859998262,14.570527,-4.7676806,9620.276366922091,134248.86352509976,46472.361046429,8900.48687557583,44415.48113530633,689.4468540734307,20776.10927459806,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
-0.0062424657,0.44492862,-2.431338,51316.42,12.154562,-20.415237,47.146893,-87.53696,80.92883,-120.87378,47.97625,644.8952,28.952822,86.515816,-30.277449,85.5077,55.528015,54.149086,12.860228,13.013263,6.138563,2.004665,0.67994964,0.14863971,0.0,0.0,0.0,0.4013605442176871,0.0,0.0,87.07709750566893,36.38174328125628,0.0,180.0,48.62553490325941,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3854875283446712,0.0,0.0,0.0,0.0,0.3219954648526077,0.0,0.0,0.0,1125.8661904761982,0.0951527512744663,0.4054848829084124,169.950357142859,0.1084368661967163,7761.389821428644,149.37062500000164,0.0811399898059587,0.0382924800877478,0.0820072709335857,0.0387807236498873,0.0391703243849278,125.09574404762046,0.0929001540677814,349.4825892857175,209.45071428571637,1473.8350595238223,0.579875693418148,1503.8204166666792,2039.0094345238292,1937.2342261904923,0.5020940096006039,1523.3721726190608,0.4205645797846815,0.1800017591285275,781.8180952381022,-0.0015204147173094,-0.0048054693344976,0.0862619240745234,0.2005180714162159,-0.0048310435299206,-0.0048626558548505,0.2155269668323957,0.031542452498245,-0.0057612023119698,4092.224047619061,-0.0151263772781134,2729.6325000000083,0.1442805751662948,0.55887276,1.6782783,102.91221022555344,189002.87903488133,31615.210262045104,8908.536909153576,53777.19272674266,102.91221022555344,1283.77019222211,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
0.024445722,0.5852632,-1.4875869,33562.707,28.570274,-15.796919,47.858723,-86.805756,83.12424,-231.59769,60.04046,272.623,36.66698,86.89356,-275.4637,86.441826,85.67492,42.357857,9.286528,21.677336,11.898185,7.2324715,0.5921375,0.14314245,0.0,0.0,0.0,1.9930875576036864,0.0,0.0,59.78004535147392,47.892066489670334,0.0,185.0,50.14737186492108,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204081632653061,0.0,0.0,0.0,0.0,5.920930232558139,0.0,0.0,0.0,841.6698809523871,0.0199459896008775,0.2795626455626051,175.6112797619065,0.0995552283072202,8196.20818452388,242.48178571428812,0.113105357214888,0.041644709323619,0.0916246972995682,0.0408332551973394,0.0414427480999649,115.75714285714402,0.1149649710239071,397.2373214285757,224.38976190476436,1157.6736607142957,0.6095308567752642,1584.251726190491,1593.9188095238244,1744.7829761904914,0.6258232919838482,1665.3335714285877,0.5004043026902906,0.4791173376520977,1653.5909226190618,-0.0064969619737325,0.0426068699915602,0.4542816359541589,0.2073561570090751,0.2666802743334333,0.1954921370030398,0.0859125843114438,0.1371766579081607,0.1608774311930699,4783.715565476213,0.0178866651129135,2467.54238095239,0.2433947001813159,9.232021,-11.034645,6500.674429938981,153917.45474240315,23503.382584986044,17009.704549665683,29667.49840883966,1058.2148941483536,6462.481730927711,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
-0.00897821,0.4290467,-2.2268717,51045.16,12.154562,-20.89748,47.064194,-87.53696,80.92883,-119.83053,50.740757,509.13647,30.355618,86.515816,-24.369614,85.5077,53.92034,54.428955,13.38969,13.013263,6.27963,2.1860218,0.67994964,0.1473873,0.0,0.0,0.0,0.6961451247165533,0.0,0.0,86.12698412698413,37.305896407639445,0.0,180.0,48.06437009387162,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4240362811791383,0.0,0.0,0.0,0.0,0.6326530612244898,0.0,0.0,0.0,1057.8401190476263,0.1005059785415609,0.42441747174859,168.8987797619066,0.1052966591062298,7756.666577381026,147.60431547619208,0.0866631826835881,0.0384093757490926,0.0898832831343549,0.0388559220547036,0.0402107125520467,117.92690476190612,0.0918798617174443,389.77080357143257,214.3892261904784,1224.2427976190577,0.6227899901137315,1007.2994940476271,2024.7653869047824,1247.0724404762009,0.5311598339918677,1552.5475000000124,0.4367219829602136,0.1897639573062849,838.9629166666737,1.0,-0.0056092934897152,0.088892908659712,0.2096668235140769,-0.0054683804148794,-0.0038636766392722,0.2180342553479733,0.021043688572793,-0.0059357248484404,3830.916458333344,-0.0235564453100033,2710.945476190485,0.16150424419525,-0.3175316,3.2606096,146.34097517454958,191014.9365343733,30468.201982271446,8219.143390193867,54186.97961552794,146.34097517454958,1116.0327891052757,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
