MetamorphicFacies_Benambran,MetamorphicFacies_KanimblanTablelands,MetamorphicFacies_Tabberabberan,Intrusions_Tabberabberan,RockUnits_LAO
Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Greenschist facies,Subgreenschist facies,Amphibolite facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Gabbro,Gabbro
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Slate
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Gabbro,Gabbro
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siliciclastic sedimentary rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Tuff and lapilli tuff
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Amphibolite facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Amphibolite facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Conglomerate
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Amphibolite facies,Granodiorite,Granodiorite
Greenschist facies,Subgreenschist facies,Amphibolite facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Gabbro,Gabbro
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Gabbro,Gabbro
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Tuff and lapilli tuff
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Tuff and lapilli tuff
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Gabbro,Gabbro
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Amphibolite facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Amphibolite facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Conglomerate
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Conglomerate
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Slate
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Gabbro,Gabbro
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Rhyolite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Mudstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Mudstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Mudstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Amphibolite facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granitic rock,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Conglomerate
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Slate
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Gabbro,Gabbro
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Tuff
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Porphyry,Igneous rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Mudstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Tuff and lapilli tuff
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Rhyolite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Amphibolite facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granodiorite,Granodiorite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Slate
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Slate
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granitic rock,Granite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Tuff
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Rhyolite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Tuff
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Tuff
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Porphyry,Igneous rock
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Tuff and lapilli tuff
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Mudstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Tuff and lapilli tuff
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Hornfels
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Siltstone
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granitic rock,Granite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Subgreenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Subgreenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Granite,Granite
Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
